id_location,CPI,CPIChanges,GDP,tertiaryEducation,primaryEducation,lifeExpectancy,population
1,110.05,1.10,2715518274227,1.00,1.00,1.00,1
2,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
11,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
9,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
15,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
11,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
14,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
12,141.54,3.60,1258286717125,40.20,105.80,75.00,126014024
13,180.44,7.70,2611000000000,28.10,113.00,69.40,1366417754
7,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
17,110.05,1.10,2715518274227,65.60,102.50,82.50,67059887
16,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
8,110.96,0.70,1394116310769,88.90,102.70,83.30,47076781
10,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
5,125.08,2.90,19910000000000,50.60,100.20,77.00,1397715000
16,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
19,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
14,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
4,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
4,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
3,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
18,116.76,1.90,1736425629520,68.90,100.90,81.90,36991981
2,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523
1,180.44,7.70,2611000000000,28.10,113.00,69.40,1366417754
6,117.24,7.50,21427700000000,88.20,101.80,78.50,328239523